stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,lat_swiss,long_swiss
8572287,"Ormalingen, Grauenstein",47.4768715647498,7.88449528350889,NA,NA,NA,258551.08416748527,633609.9305143642
8572290,"Hemmiken, Stiegelmatt",47.4831674399551,7.88469291287142,NA,NA,NA,259251.17062262286,633620.8549426203
8572291,"Hemmiken, Friedhof",47.485516816269,7.88702853261046,NA,NA,NA,259513.38633337122,633795.4014293799
8572292,"Hemmiken, Abzw. nach Asp",47.4868037685675,7.90417737138669,NA,NA,NA,259663.99112438425,635087.0116799736
8572293,"Ormalingen, Oberdorf",47.4681155836222,7.87832385750613,NA,NA,NA,257574.93830357384,633150.1780822251
8572294,"Rothenfluh, Säge",47.4693604549171,7.89803289484245,NA,NA,NA,257721.84782913385,634635.26860167
8572295,"Rothenfluh, Asphof",47.4835316912273,7.90465347848734,NA,NA,NA,259300.4003868082,635125.0508891848
8572296,"Anwil, Talweiher",47.4518809777277,7.92864747972951,NA,NA,NA,255792.36886695444,636955.4173477856
8572297,"Anwil, Ausserdorf",47.4517594877825,7.94370324389345,NA,NA,NA,255786.0515188082,638090.9274200307
8572298,"Kienberg, Kreuz",47.4476165126899,7.95141977218511,NA,NA,NA,255329.1948704227,638675.872644982
8572299,"Gelterkinden, Rünenbergerbr.",47.4633301453182,7.85777938695545,NA,NA,NA,257034.4117398487,631604.1285008636
8572300,"Gelterkinden, Schwimmbad",47.4594371006932,7.86598100550061,NA,NA,NA,256604.89891970396,632224.873283974
8572301,"Tecknau, Mitteldorf",47.4479202609527,7.88586970589378,NA,NA,NA,255332.7642644425,633731.8504635291
8572302,"Tecknau, Bahnhof",47.446170646912,7.88754057232248,NA,NA,NA,255138.95550533454,633858.9790081651
8572303,"Wenslingen, Hinterdorf",47.4418328111123,7.90653994058425,NA,NA,NA,254665.02263459848,635294.8370564398
8572304,"Wenslingen, Mooshof",47.4362246865683,7.91667293699053,NA,NA,NA,254046.09840584287,636062.9510017966
8572305,"Oltingen, Lehmatt",47.4323417886331,7.92959071077796,NA,NA,NA,253620.39839170198,637040.1237541795
8572306,"Oltingen, Schulhaus",47.4323114048904,7.93333668551327,NA,NA,NA,253618.7929213738,637322.7497848865
8572307,"Gelterkinden, Bleichiweg",47.4603116943272,7.86035755182124,NA,NA,NA,256699.84897401617,631800.3193952258
8572308,"Rünenberg, Unterdorf",47.4360788552045,7.88328255787516,NA,NA,NA,254015.09614288044,633544.1749747038
8572309,"Rünenberg, Frohe Aussicht",47.4316672654183,7.88464799710721,NA,NA,NA,253525.18821214288,633649.963396329
8572311,"Zeglingen, Sagi",47.4211472306758,7.90162615597943,NA,NA,NA,252362.95700275083,634937.7447383564
8572312,"Zeglingen, Oberdorf",47.4166796822606,7.90733045803438,NA,NA,NA,251868.79878439338,635371.1439977603
8572313,"Möhlin, Bahnhof",47.5615749108823,7.83321046393137,NA,NA,NA,267948.2509039427,629696.8381031755
8572314,"Balsthal, Post",47.313949330869,7.69352243723134,NA,NA,NA,240372.85384463184,619273.0771521972
8572315,"Balsthal, Zentrum",47.3159530359573,7.69661264180914,NA,NA,NA,240596.38634790212,619506.001096156
8572316,"Balsthal, Brauerei",47.3190102146404,7.69948725071872,NA,NA,NA,240936.9990313457,619722.2190832722
8572317,"Balsthal, St. Wolfgang",47.3218053686308,7.70879379706349,NA,NA,NA,241250.13740518066,620424.7643286474
8572318,"Mümliswil, Lobisei",47.3308901199389,7.70925193785846,NA,NA,NA,242260.29882416147,620455.9267307997
8572319,"Mümliswil, Kammfabrik",47.3381531434577,7.70573054194422,NA,NA,NA,243066.8942953924,620187.0141549204
8572320,"Mümliswil, Schulhaus",47.3426212634015,7.69812181148667,NA,NA,NA,243561.73827110868,619610.3325972628
8572321,"Ramiswil, Mühle",47.3465716430274,7.66855825548218,NA,NA,NA,243993.99984618096,617374.9152243844
8572322,"Ramiswil, Abzw. Scheltenstr.",47.3478924282033,7.65083449492403,NA,NA,NA,244137.0866717736,616035.2228603982
8572323,"Ramiswil, Kapelle",47.3551044278326,7.65788626990535,NA,NA,NA,244940.3836097266,616565.8455340988
8572324,"Ramiswil, Alpenblick",47.3572891344727,7.6606890135922,NA,NA,NA,245183.87512828168,616776.9163008993
8572325,"Balsthal, Thalbrücke",47.3084494094399,7.68857272001515,NA,NA,NA,239760.17474292495,618900.7644317301
8572326,"Balsthal, Hinterrain",47.3118541901941,7.680541781374,NA,NA,NA,240136.81971448197,618292.3096746741
8572327,"Laupersdorf, Vogelsmatt",47.3122135370833,7.67337322540573,NA,NA,NA,240175.13100072925,617750.1458378787
8572328,"Laupersdorf, Einschnitt",47.3120734529934,7.66077884512062,NA,NA,NA,240156.7938262994,616797.8816316186
8572329,"Matzendorf, Unterdorf",47.3047885686375,7.63156563207699,NA,NA,NA,239341.04308770172,614590.9367098778
8572330,"Matzendorf, Horngraben",47.3007132246923,7.62286095697266,NA,NA,NA,238886.37301758572,613933.7100546864
8572331,"Aedermannsdorf, Staatsstrasse",47.2988246927305,7.61460543951045,NA,NA,NA,238674.98057557386,613309.8125207195
8572332,"Herbetswil, Vorderer Hammer",47.2901000179484,7.58272423007261,NA,NA,NA,237700.08462744943,610900.3152662321
8572333,"Herbetswil, Hinterer Hammer",47.2866999295189,7.56634794244083,NA,NA,NA,237319.9333605694,609662.137207582
8572334,"Herbetswil, Wolfsschlucht",47.2830863343309,7.55501120355367,NA,NA,NA,236916.8523683666,608805.1026878435
8572335,"Welschenrohr, Unterdorf",47.2804841491756,7.53312824322947,NA,NA,NA,236625.33774194098,607149.8862514932
8572336,"Welschenrohr, Hinterdorf",47.2781134288034,7.52247422395833,NA,NA,NA,236360.85641853005,606344.0924956958
8572337,"Welschenrohr, Rotschihaus",47.2743712529839,7.5148924429593,NA,NA,NA,235944.2264069088,605770.8365686889
8572338,"Welschenrohr, Abzw. Malsenhof",47.2708787231373,7.50210043331166,NA,NA,NA,235555.08014286484,604803.2044739259
8572339,"Welschenrohr, Brisenmatt",47.2699095509664,7.49555171488952,NA,NA,NA,235446.95432004545,604307.7226000885
8572340,"Gänsbrunnen, Hasenmattweg",47.2674956865292,7.48672127564539,NA,NA,NA,235178.1444585996,603639.6491314971
8572341,"Gänsbrunnen, St. Josef",47.2626737237069,7.46819801448427,NA,NA,NA,234641.36780810228,602238.051704597
8572342,"Gänsbrunnen, Bahnhof",47.2656730240262,7.46514374251784,NA,NA,NA,234974.74620505024,602006.7826400226
8572343,"Balsthal, Pfadiheim",47.3194486799473,7.7197801929898,NA,NA,NA,240991.03092183216,621256.2718663409
8572344,"Holderbank SO, Seblenhof",47.3303969530408,7.74085466955818,NA,NA,NA,242214.16448071017,622844.8953297836
8572345,"Holderbank SO, Steinbruch",47.3396750251385,7.76773226286278,NA,NA,NA,243253.85332251078,624872.1936325791
8572346,"Langenbruck, Unterdorf",47.3470829186289,7.76911566840052,NA,NA,NA,244077.90286324744,624973.2830811663
8572347,"Langenbruck, Passhöhe",47.3513981308677,7.76425578271275,NA,NA,NA,244556.13818405473,624604.0647187973
8572348,"Langenbruck, Spittel",47.3657897643765,7.75479652276966,NA,NA,NA,246153.29539926857,623882.9121392595
8572349,"Waldenburg, Revue Thommen",47.3811446236614,7.74669371890577,NA,NA,NA,247858.04060214822,623264.1614765902
8572351,"Waldenburg, Bahnhof",47.3862538071552,7.74914611963176,NA,NA,NA,248426.81636959896,623447.11417863
8572352,"Olten, Bahnhof",47.3519337038252,7.90691723300363,NA,NA,NA,244670.11667274265,635382.8552377966
8572353,"Aarburg, Längacker",47.3330940935006,7.90622553023476,NA,NA,NA,242575.23290017815,635343.0556889471
8572354,"Aarburg, Höhe",47.3291609713229,7.90433008498501,NA,NA,NA,242137.10218817877,635202.3833714584
8572355,"Aarburg, Städtli",47.3217627421205,7.89898510904375,NA,NA,NA,241312.19607205546,634803.1818113244
8572356,"Boningen, Ruppoldingen",47.3129200424868,7.88072235931506,NA,NA,NA,240321.14964785773,633428.0615423161
8572358,"Boningen, Kappelerstrasse",47.30857732109,7.85158101149417,NA,NA,NA,239826.34594831688,631227.1646776927
8572359,"Boningen, Gsteigli",47.3038809332778,7.85367408610646,NA,NA,NA,239305.04258424867,631388.1960390884
8572360,"Boningen, Hausenmühli",47.2961745422033,7.85145524735437,NA,NA,NA,238447.37578171951,631224.8964492592
8572361,"Fulenbach, Aaretränke",47.2887656006975,7.84475381533391,NA,NA,NA,237621.0234329149,630722.2841782719
8572362,"Fulenbach, Boningerstrasse",47.2808071439859,7.83937290678128,NA,NA,NA,236734.13002615556,630319.7489399834
8572363,"Fulenbach, Höchi",47.2777599446866,7.83663304516434,NA,NA,NA,236394.296173383,630114.1728001436
8572364,"Fulenbach, Altes Schulhaus",47.2755231887183,7.83480048198448,NA,NA,NA,236144.91847648643,629976.7707486621
8572365,"Fulenbach, Wolfwilerstrasse",47.2729937731011,7.8252603736658,NA,NA,NA,235860.109840691,629256.300260435
8572366,"Wolfwil, Fulenbacherstrasse",47.2700253649268,7.80679999457457,NA,NA,NA,235523.3833292983,627860.9713117499
8572367,"Wolfwil, Schulhaus",47.2697693547805,7.7988678706147,NA,NA,NA,235492.14020478065,627260.8537511027
